company_id,employee_count,follower_count
81149246,6,91
10033339,3,187
6049228,20,82
2641066,45,2336
96649998,0,2
82684341,3,128
82296828,0,64
86746333,11,478
718651,5,22
4781041,14,17
7573454,94,9048
1434753,61,653
90844,249,1236
91459053,2,24
145145,44,16833
2899710,139,2841
20338460,38,1656
90633414,5,732
2902815,183,29262
371180,1893,31310
10563070,14,349
88684,147,8111
14615655,36,10237
69571610,3717,158109
3657,28732,744716
62424,899,10311
18630069,19,1884
1387626,1676,39770
35602,462,5824
18872958,335,156482
89908682,18,301
2502541,29,8058
9516195,113,8089
298409,395,146046
37768,2025,231325
91187899,2,582
7032083,119,40756
33874,3725,15731
8986045,0,116
81886402,1687,30991
34771768,7,413
3579761,1873,17929
6979,25985,387187
79378951,19,95
26489605,19,762
9215353,499,6977
76323347,932,14276
3514329,422,20754
2999886,17,16309
8288,5521,87035
2815,43186,284104
61677,2815,389704
40934666,5,16505
1485063,29,229
19115854,113,267
1124883,98,696
4316275,12,20
27116461,59,11841
64734122,31,291
272676,6,590
3079381,8,178
10665641,449,47697
2313067,7,10842
777243,356,241253
72332830,91,32494
165957,4756,90015
166612,9708,147371
22681,790,102620
2326570,670,59672
82591929,8,2159
90403412,1,4
11555975,18,751
301266,34,825
922460,222,2941
11001662,5,409
25963,1250,20418
54945276,7,7
72628508,10,1242
61242,156,2498
9599126,64,263
260776,311,5405
1476408,572,36757
153682,538,5185
90636422,282,2104
80998774,88,2554
71558880,108,1879
965922,18,448
84013022,4,96
1505704,418,5615
11234188,59,4705
14015698,12,275
74886057,1,14
477012,16,2274
150217,551,8906
8167270,38,631
15440862,98,690
11420962,6001,115401
16063763,39,2729
40775779,68,901
1211072,131,2050
4743385,40,699
109690,188,6932
82809834,2,3121
5103135,36,1463
25719,52,796
64948032,70,2607
99429,201,2385
2281751,20,293
1724775,140,35612
8596,4836,94215
22330287,989,40087
80851163,11,341
88171782,11,384
2434292,5,3432
165416,5752,81838
104849,147,4301
37270045,7,121
71612518,3,76
3671,16063,204662
2413926,13,8106
3663488,51,5665
2474970,78,9443
101699,733,9555
4857886,2948,45509
1584751,10,22616
2908367,1735,164175
90723074,96,548
206587,13,911
205127,139,88337
344890,1014,2407
1441,285743,30762143
9185,19759,114381
93283844,0,964
1318,290150,7770078
26923,1054,4203
28014,1585,95817
64877765,70,27772
20767,234,23795
10589520,152,7239
11135982,24872,410103
2625582,33,3705
1117761,198,3232
18883340,347,1360
94141062,7,281
16055920,13,9
2138573,24,970
2272345,30,1111
67936,372,4446
28609431,15,777
90392784,4,30
57142940,26,125
2853559,10,632
9282983,15,10284
34208,2508,31229
9238932,72,1277
92430070,2,475
98550552,0,29
10069048,21,850
10779570,57,1251
11158118,68,213
15391027,23,464
444038,68,6359
33246798,50049,2663406
35504315,3785,18526
346080,2808,35495
1264,3543,130651
6978821,705,380769
1177302,964,27592
1400,31271,1697119
36879,1102,7666
808034,18302,90008
80862575,437,1560
1262,65850,2104220
3690818,1889,14225
73013724,251,28671
22980,713,5279
94355,1032,22290
230495,69,3060
113254,2949,44877
1075434,15907,124632
107457,727,7206
18270206,47,611
49223,1405,8126
12601,4227,112880
16198010,89916,1963112
8274,7320,420958
18691,7196,36533
10409601,29,486
79806,525,17404
1947704,55,1398
89094,196,8256
2263179,5998,108685
468782,8546,135847
434598,1013,88955
7550,5410,85781
6684,5879,600171
1633243,101,2533
6476,2038,25270
89830003,2,96
1063,99677,6182716
6547149,1154,12651
46521,1009,8224
24629,181,452226
78853109,110,2502
13181,2919,22093
1089558,48,14476
3894635,40,563
18995316,49,1960
882349,95,736
61469,202,1812
21514196,151,5035
6910,11000,342625
9730586,871,29587
61400,531,10409
77169664,18,42
73828006,3,107
68746191,7,31
69660814,24,45
81922135,5,59
131915,148,1670
62804,142,1562
1889003,53,331
3149515,31,7845
2937626,36,1918
3628379,58,1232
18192301,20,113
84939936,14,51
70803322,3,4
44786,135,15365
106551,286,4707
308409,2354,32082
3928505,12,50
4376443,1,25
36019672,1,95
58569536,60,200
35696106,12,1064
543150,38,2213
210234,13,707
583005,352,4485
69642092,3,1100
11034338,3,1574
2680550,31,169
10937173,42,819
82327978,31,280
3566984,145,847
89737107,6,71
2803017,39,896
35444763,355,1097
84855353,148,857
10229031,43,10504
2144424,513,24782
11768999,27,209
1215629,451,184617
1981697,77,1753
93094245,3,150
20397,18745,45329
82884837,45,6539
72739246,10,230
95734747,1,3
10279563,74,1086
90666319,10,12434
436163,333,5839
750072,1471,157212
278493,80,417
1313100,83,69123
313823,473,109977
440105,64,2189
6648075,17,27205
1313822,55,4857
15083522,177,2416
3194825,42,1721
68921004,12,10327
16318,1686,14445
9260752,173,11127
2214679,3023,25326
35512060,36,22724
13391879,96,29796
1012693,125,1803
18106858,116,11894
14467750,305,56930
1268739,77,5092
28966001,19,18878
82559090,14,1527
87720672,1,511
91098929,6,241
47660218,7,268
89721371,2,82
47238,764,11976
1044,273293,5559823
1180728,366,6862
89768356,11,377
164992,111,47802
65515408,31,285
15363324,50,237
88421962,44,362
1318870,41,1150
96654985,0,1
96360915,2,41
2740813,315,24731
80051634,16,1767
487710,805,1168
2389778,27,4446
6967,1257,47800
66932,26,2256
77757558,13,613
10035810,26328,222396
45068,3293,49413
164707,3960,90021
28142959,18,2585
1712352,25,707
81471675,2,359
80777602,2,75
43041,2637,12116
2476170,23,382
3769582,15,267
2893575,9,770
2083295,848,17648
82695521,37,8601
95019864,6,904
613812,1555,133465
54133543,49,8678
1364228,74,18725
35633786,5,36
21514196,152,5039
43558,99,4605
22286034,18,801
332139,158,29195
79919162,6,2069
11056,13096,1711262
16029992,3,10
123507,208,13328
89930579,4,206
701854,5708,54462
29039424,41,4945
10599076,297,93995
16775,476,38407
165747,74,22983
29686,163,118109
80294339,5,41
11213065,11,316
1091069,244,13646
164834,9267,765364
77129996,1,6
15232600,5,613
3540705,1404,107371
2689946,237,157196
164331,3582,258661
7260,1200,196369
1197199,51,18399
2958,3157,49098
729238,274,33488
1179727,94,4101
10324459,135,11818
81350906,43,3774
40909281,58,1309
10801655,23951,537137
701236,442,3527
3384,27324,57319
9454649,207,9525
9180398,123,742
3432,36660,278160
17937,2577,515638
7990,10315,81046
89687784,3,139
69419,557,2772
641035,645,18494
165257,6638,95517
9223341,140,9316
14070878,264,45720
79815,213,20539
52176410,28,23273
10854663,26,23290
45593,334,24530
76412394,70,27600
1656268,1540,180178
6134,428,4012
373568,361,215051
545751,142,100308
29091,95,23372
2510434,258,2403
2756204,853,192990
18255,3991,53270
16742,1681,40327
15355,13,17555
53185587,72,1031
6088,5006,304446
92409,226,11942
14407234,40,9253
1885564,36,1905
6641761,245,3230
5235,12457,2147585
80705,729,3798
40848932,3,152
118551,43,1899
27057164,19,8465
7012604,38,10318
30186,168,2039
24836,659,11485
12178391,7,851
142571,357,34013
11243687,131,26541
1012425,454,1610
2394652,2488,21277
82533810,3,823
6044,1954,350563
78810685,5,95
72456010,30,15501
1463,83579,1460893
29293182,6,13236
77387513,23,24115
18476,2123,853461
2908367,1750,164650
2648958,12,11790
1977034,17,1426
316938,485,7475
3101619,8,2086
827183,640,484532
7032083,118,41004
1373835,983,4956
15240711,1592,207242
9187114,207,64457
74022590,15,9639
27292,2098,679263
34654317,31,70430
14352,751,418426
1841,87256,1663939
2121,14567,143091
92294,113,1261
74303,35,1253
8118,7104,68605
232557,950,8185
17900699,10,3363
25461,585,252502
7242,64102,221435
4787,13092,1303832
9328925,47,84911
14113,811,47150
77143692,53,2171
67572051,2015,285305
6575603,118,174651
13713353,6,769
73431608,0,658
6587671,7,325
10432834,41,1277
18783638,26,1020
84645,555,37749
1369363,278,3616
157240,296827,6146253
165464,4886,309314
33249838,13,6681
140581,1546,69552
9371344,447,11568
3067,156740,5043809
61677,2818,391824
31356620,64,34805
38117,287,215735
1612340,89,15405
417618,147,136350
1637,42546,879477
23740523,59,357
11742196,17,170
14467750,304,56996
1783020,112,10591
3684,971,220173
475428,730,31209
10247020,242,7554
14392471,403,63653
14628031,38,4194
117620,81,10732
124391,8,27915
71010895,3,196
5140,18359,1083228
327412,169,6939
88804,332,2560
890145,1850,204470
78095772,20,5159
55215,997,71278
318540,1092,103350
2562128,657,83718
33264,1501,40889
1106954,61,9983
99097,154,48818
2826091,10,72
37497578,7,6
77712306,9,2130
35642069,8,30
1353,567835,13592250
33278075,33,10990
1681,32197,2609057
17516,2731,40702
35351,396,3802
2684081,302,344958
10469647,246,47336
969699,7,7631
481931,47,2740
72483,7529,91979
9195529,182,5714
266132,82,41090
96121422,53,1027
26569406,25,227
71001459,66,9146
16164204,14,11168
131001,77,623
18921,557,80624
89810312,1,93
95675928,23,3563
331509,202,50073
375438,424,9394
594182,29,755
314772,9,351
108486,71,6367
1318,290191,7782514
96692,962,125713
1265173,31,1784
1316967,133,11591
72130268,2,24276
7941225,145,112243
4122,2899,62539
1552579,848,19464
961273,110,21422
90396,745,97711
2872071,4,1238
8234,6788,42292
1286891,695,75586
75041012,89,47894
80065524,24,5403
80980042,47,3510
20121834,75,1806
14632005,366,139637
1372291,42,17251
78336991,5,3
165295,24401,200460
1851642,18,47391
3758,3041,20756
165118,10316,74134
77607954,2,1544
47040,1927,296939
132625,161,54584
911461,551,92554
